Latitude,Longitude
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.804569,43.452301
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
34.346303,45.382461
36.2704,43.635861
34.346303,45.382461
34.346303,45.382461
34.346303,45.382461
34.346303,45.382461
34.346303,45.382461
34.346303,45.382461
36.2704,43.635861
34.346303,45.382461
36.653559,43.396967
36.3481856,43.625983
36.653559,43.396967
36.3481856,43.625983
36.653559,43.396967
36.3481856,43.625983
36.653559,43.396967
36.653559,43.396967
36.3481856,43.625983
36.653559,43.396967
36.3481856,43.625983
36.653559,43.396967
36.2704,43.635861
36.271334,43.672843
36.271334,43.672843
36.3481856,43.625983
36.2704,43.635861
36.271334,43.672843
36.3481856,43.625983
36.2704,43.635861
36.271334,43.672843
36.3481856,43.625983
36.2704,43.635861
36.3481856,43.625983
36.2704,43.635861
36.271334,43.672843
36.271334,43.672843
36.3481856,43.625983
36.2704,43.635861
36.2704,43.635861
36.271334,43.672843
36.22,43.99
36.22,43.99
36.22,43.99
36.22,43.99
36.22,43.99
36.871785,42.911654
36.3481856,43.625983
35.458758,44.333954
36.871785,42.911654
36.3481856,43.625983
35.458758,44.333954
36.871785,42.911654
36.3481856,43.625983
35.458758,44.333954
36.871785,42.911654
36.3481856,43.625983
35.458758,44.333954
36.871785,42.911654
36.3481856,43.625983
35.458758,44.333954
36.871785,42.911654
36.3481856,43.625983
35.458758,44.333954
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
36.2704,43.635861
34.3025,45.4769
36.2704,43.635861
36.2704,43.635861
34.3025,45.4769
36.2704,43.635861
34.3025,45.4769
36.2704,43.635861
36.271334,43.672843
